2,0,-10000,10000,15
3,0,15,10000,15
4,0,15,10000,15
5,0,15,10000,16
6,0,16,10000,19
7,0,19,10000,43
8,0,43,10000,43
9,0,43,10000,43
10,0,43,10000,43
11,0,43,10000,43
12,0,43,10000,43
13,0,43,10000,43
14,0,43,10000,43
15,0,43,10000,43
16,0,43,10000,48
17,0,48,10000,48
18,0,48,10000,48
19,0,48,10000,48
20,0,48,10000,48
21,0,48,10000,48
22,0,48,10000,48
23,0,48,10000,48
24,0,48,10000,48
25,0,48,10000,48
26,0,48,10000,48
27,0,48,10000,48
28,0,48,10000,48
29,0,48,10000,48
29,1,-10000,10000,-48
31,0,-10000,48,48
32,0,-10000,48,31,prune
33,0,31,48,34,prune
34,0,34,48,48,prune
35,0,34,48,48,prune
36,0,34,48,34,prune
37,0,34,48,48,prune
38,0,34,48,34,prune
39,0,34,48,34,prune
40,0,34,48,34,prune
41,0,34,48,34,prune
42,0,34,48,34,prune
43,0,34,48,34,prune
44,0,34,48,48,prune
45,0,34,48,34,prune
46,0,34,48,48,prune
47,0,34,48,48,prune
48,0,34,48,48,prune
49,0,34,48,48,prune
50,0,34,48,48,prune
51,0,34,48,34,prune
52,0,34,48,34,prune
53,0,34,48,34,prune
54,0,34,48,34,prune
55,0,34,48,48,prune
56,0,34,48,48,prune
57,0,34,48,34,prune
58,0,34,48,34,prune
58,1,-48,10000,-48
60,0,-10000,48,48
61,0,-10000,48,48,prune
62,0,-10000,48,48,prune
63,0,-10000,48,48,prune
64,0,-10000,48,48,prune
65,0,-10000,48,48,prune
66,0,-10000,48,48,prune
67,0,-10000,48,48,prune
68,0,-10000,48,48,prune
69,0,-10000,48,48,prune
70,0,-10000,48,48,prune
71,0,-10000,48,48,prune
72,0,-10000,48,-253,prune
73,0,-253,48,48,prune
74,0,-253,48,48,prune
75,0,-253,48,42,prune
76,0,42,48,45,prune
77,0,45,48,45,prune
78,0,45,48,45,prune
79,0,45,48,48,prune
80,0,45,48,48,prune
81,0,45,48,47,prune
82,0,47,48,47,prune
83,0,47,48,47,prune
84,0,47,48,47,prune
85,0,47,48,47,prune
86,0,47,48,48,prune
87,0,47,48,48,prune
87,1,-48,10000,-48
89,0,-10000,48,48
90,0,-10000,48,48,prune
91,0,-10000,48,48,prune
92,0,-10000,48,48,prune
93,0,-10000,48,48,prune
94,0,-10000,48,48,prune
95,0,-10000,48,48,prune
96,0,-10000,48,48,prune
97,0,-10000,48,48,prune
98,0,-10000,48,48,prune
99,0,-10000,48,48,prune
100,0,-10000,48,48,prune
101,0,-10000,48,-254,prune
102,0,-254,48,48,prune
103,0,-254,48,48,prune
104,0,-254,48,41,prune
105,0,41,48,44,prune
106,0,44,48,47,prune
107,0,47,48,48,prune
108,0,47,48,47,prune
109,0,47,48,47,prune
110,0,47,48,48,prune
111,0,47,48,47,prune
112,0,47,48,47,prune
113,0,47,48,47,prune
114,0,47,48,47,prune
115,0,47,48,47,prune
116,0,47,48,47,prune
116,1,-48,10000,-48
118,0,-10000,48,48
119,0,-10000,48,48,prune
120,0,-10000,48,48,prune
121,0,-10000,48,48,prune
122,0,-10000,48,48,prune
123,0,-10000,48,48,prune
124,0,-10000,48,48,prune
125,0,-10000,48,48,prune
126,0,-10000,48,48,prune
127,0,-10000,48,48,prune
128,0,-10000,48,48,prune
129,0,-10000,48,48,prune
130,0,-10000,48,-246,prune
131,0,-246,48,48,prune
132,0,-246,48,48,prune
133,0,-246,48,48,prune
134,0,-246,48,48,prune
135,0,-246,48,48,prune
136,0,-246,48,48,prune
137,0,-246,48,48,prune
138,0,-246,48,48,prune
139,0,-246,48,48,prune
140,0,-246,48,48,prune
141,0,-246,48,34,prune
142,0,34,48,42,prune
143,0,42,48,42,prune
144,0,42,48,48,prune
145,0,42,48,48,prune
145,1,-48,10000,-48
147,0,-10000,48,48
148,0,-10000,48,-31,prune
149,0,-31,48,48,prune
150,0,-31,48,48,prune
151,0,-31,48,48,prune
152,0,-31,48,48,prune
153,0,-31,48,48,prune
154,0,-31,48,48,prune
155,0,-31,48,48,prune
156,0,-31,48,48,prune
157,0,-31,48,48,prune
158,0,-31,48,48,prune
159,0,-31,48,-31,prune
160,0,-31,48,48,prune
161,0,-31,48,48,prune
162,0,-31,48,47,prune
163,0,47,48,48,prune
164,0,47,48,48,prune
165,0,47,48,48,prune
166,0,47,48,48,prune
167,0,47,48,48,prune
168,0,47,48,48,prune
169,0,47,48,48,prune
170,0,47,48,47,prune
171,0,47,48,47,prune
172,0,47,48,48,prune
173,0,47,48,47,prune
174,0,47,48,47,prune
174,1,-48,10000,-48
176,0,-10000,48,48
177,0,-10000,48,48,prune
178,0,-10000,48,48,prune
179,0,-10000,48,48,prune
180,0,-10000,48,48,prune
181,0,-10000,48,48,prune
182,0,-10000,48,47,prune
183,0,47,48,48,prune
184,0,47,48,48,prune
185,0,47,48,48,prune
186,0,47,48,48,prune
187,0,47,48,48,prune
188,0,47,48,48,prune
189,0,47,48,48,prune
190,0,47,48,47,prune
191,0,47,48,47,prune
192,0,47,48,47,prune
193,0,47,48,47,prune
194,0,47,48,47,prune
195,0,47,48,47,prune
196,0,47,48,47,prune
197,0,47,48,47,prune
198,0,47,48,47,prune
199,0,47,48,47,prune
200,0,47,48,47,prune
201,0,47,48,47,prune
202,0,47,48,47,prune
203,0,47,48,47,prune
203,1,-48,10000,-48
205,0,-10000,48,48
206,0,-10000,48,45,prune
207,0,45,48,46,prune
208,0,46,48,48,prune
209,0,46,48,48,prune
210,0,46,48,48,prune
211,0,46,48,48,prune
212,0,46,48,46,prune
213,0,46,48,46,prune
214,0,46,48,46,prune
215,0,46,48,48,prune
216,0,46,48,48,prune
217,0,46,48,48,prune
218,0,46,48,48,prune
219,0,46,48,48,prune
220,0,46,48,46,prune
221,0,46,48,46,prune
222,0,46,48,46,prune
223,0,46,48,46,prune
224,0,46,48,46,prune
225,0,46,48,46,prune
226,0,46,48,46,prune
227,0,46,48,46,prune
228,0,46,48,46,prune
229,0,46,48,46,prune
230,0,46,48,46,prune
231,0,46,48,46,prune
232,0,46,48,46,prune
233,0,46,48,46,prune
233,1,-48,10000,-48
235,0,-10000,48,21
236,0,21,48,24
237,0,24,48,48
238,0,24,48,48,prune
239,0,24,48,48,prune
240,0,24,48,38,prune
241,0,38,48,43,prune
242,0,43,48,43,prune
243,0,43,48,43,prune
244,0,43,48,48,prune
245,0,43,48,43,prune
246,0,43,48,43,prune
247,0,43,48,48,prune
248,0,43,48,43,prune
249,0,43,48,43,prune
250,0,43,48,43,prune
251,0,43,48,43,prune
252,0,43,48,43,prune
253,0,43,48,43,prune
254,0,43,48,43,prune
255,0,43,48,43,prune
256,0,43,48,43,prune
257,0,43,48,43,prune
258,0,43,48,43,prune
259,0,43,48,43,prune
260,0,43,48,43,prune
261,0,43,48,43,prune
262,0,43,48,43,prune
262,1,-48,10000,-48
264,0,-10000,48,3
265,0,3,48,3
266,0,3,48,30
267,0,30,48,35
268,0,35,48,35
269,0,35,48,35
270,0,35,48,35
271,0,35,48,35
272,0,35,48,35
273,0,35,48,35
274,0,35,48,35
275,0,35,48,35
276,0,35,48,35
277,0,35,48,35
278,0,35,48,35
279,0,35,48,35
280,0,35,48,35
281,0,35,48,35
282,0,35,48,35
283,0,35,48,35
284,0,35,48,35
285,0,35,48,35
286,0,35,48,35
287,0,35,48,35
288,0,35,48,35
289,0,35,48,35
290,0,35,48,35
290,1,-48,10000,-35
292,0,-10000,35,21
293,0,21,35,35
294,0,21,35,35,prune
295,0,21,35,24,prune
296,0,24,35,35,prune
297,0,24,35,24,prune
298,0,24,35,35,prune
299,0,24,35,35,prune
300,0,24,35,35,prune
301,0,24,35,35,prune
302,0,24,35,24,prune
303,0,24,35,35,prune
304,0,24,35,35,prune
305,0,24,35,24,prune
306,0,24,35,24,prune
307,0,24,35,24,prune
308,0,24,35,24,prune
309,0,24,35,24,prune
310,0,24,35,24,prune
311,0,24,35,24,prune
312,0,24,35,24,prune
313,0,24,35,24,prune
314,0,24,35,24,prune
315,0,24,35,24,prune
316,0,24,35,24,prune
317,0,24,35,24,prune
318,0,24,35,24,prune
319,0,24,35,24,prune
319,1,-35,10000,-35
321,0,-10000,35,35
322,0,-10000,35,3,prune
323,0,3,35,30,prune
324,0,30,35,35,prune
325,0,30,35,30,prune
326,0,30,35,35,prune
327,0,30,35,30,prune
328,0,30,35,35,prune
329,0,30,35,30,prune
330,0,30,35,30,prune
331,0,30,35,30,prune
332,0,30,35,30,prune
333,0,30,35,30,prune
334,0,30,35,30,prune
335,0,30,35,30,prune
336,0,30,35,30,prune
337,0,30,35,30,prune
338,0,30,35,30,prune
339,0,30,35,30,prune
340,0,30,35,30,prune
341,0,30,35,30,prune
342,0,30,35,30,prune
343,0,30,35,30,prune
344,0,30,35,30,prune
345,0,30,35,30,prune
346,0,30,35,30,prune
347,0,30,35,30,prune
348,0,30,35,30,prune
349,0,30,35,30,prune
349,1,-35,10000,-35
351,0,-10000,35,35
352,0,-10000,35,35,prune
353,0,-10000,35,35,prune
354,0,-10000,35,35,prune
355,0,-10000,35,35,prune
356,0,-10000,35,35,prune
357,0,-10000,35,35,prune
358,0,-10000,35,35,prune
359,0,-10000,35,35,prune
360,0,-10000,35,35,prune
361,0,-10000,35,35,prune
362,0,-10000,35,35,prune
363,0,-10000,35,-226,prune
364,0,-226,35,35,prune
365,0,-226,35,35,prune
366,0,-226,35,35,prune
367,0,-226,35,35,prune
368,0,-226,35,35,prune
369,0,-226,35,-226,prune
370,0,-226,35,35,prune
371,0,-226,35,35,prune
372,0,-226,35,35,prune
373,0,-226,35,35,prune
374,0,-226,35,35,prune
375,0,-226,35,25,prune
376,0,25,35,35,prune
377,0,25,35,33,prune
378,0,33,35,33,prune
378,1,-35,10000,-35
380,0,-10000,35,35
381,0,-10000,35,35,prune
382,0,-10000,35,35,prune
383,0,-10000,35,35,prune
384,0,-10000,35,-14,prune
385,0,-14,35,35,prune
386,0,-14,35,35,prune
387,0,-14,35,35,prune
388,0,-14,35,35,prune
389,0,-14,35,35,prune
390,0,-14,35,35,prune
391,0,-14,35,35,prune
392,0,-14,35,35,prune
393,0,-14,35,35,prune
394,0,-14,35,35,prune
395,0,-14,35,35,prune
396,0,-14,35,35,prune
397,0,-14,35,35,prune
398,0,-14,35,35,prune
399,0,-14,35,-14,prune
400,0,-14,35,35,prune
401,0,-14,35,35,prune
402,0,-14,35,35,prune
403,0,-14,35,-14,prune
404,0,-14,35,22,prune
405,0,22,35,30,prune
406,0,30,35,35,prune
407,0,30,35,30,prune
407,1,-35,10000,-35
409,0,-10000,35,35
410,0,-10000,35,35,prune
411,0,-10000,35,35,prune
412,0,-10000,35,35,prune
413,0,-10000,35,35,prune
414,0,-10000,35,35,prune
415,0,-10000,35,35,prune
416,0,-10000,35,35,prune
417,0,-10000,35,35,prune
418,0,-10000,35,35,prune
419,0,-10000,35,35,prune
420,0,-10000,35,35,prune
421,0,-10000,35,35,prune
422,0,-10000,35,35,prune
423,0,-10000,35,35,prune
424,0,-10000,35,35,prune
425,0,-10000,35,35,prune
426,0,-10000,35,35,prune
427,0,-10000,35,35,prune
428,0,-10000,35,35,prune
429,0,-10000,35,35,prune
430,0,-10000,35,35,prune
431,0,-10000,35,-246,prune
432,0,-246,35,34,prune
433,0,34,35,35,prune
434,0,34,35,35,prune
435,0,34,35,35,prune
436,0,34,35,35,prune
436,1,-35,10000,-35
438,0,-10000,35,35
439,0,-10000,35,35,prune
440,0,-10000,35,35,prune
441,0,-10000,35,35,prune
442,0,-10000,35,35,prune
443,0,-10000,35,35,prune
444,0,-10000,35,35,prune
445,0,-10000,35,35,prune
446,0,-10000,35,35,prune
447,0,-10000,35,35,prune
448,0,-10000,35,-211,prune
449,0,-211,35,35,prune
450,0,-211,35,35,prune
451,0,-211,35,35,prune
452,0,-211,35,35,prune
453,0,-211,35,35,prune
454,0,-211,35,35,prune
455,0,-211,35,35,prune
456,0,-211,35,35,prune
457,0,-211,35,35,prune
458,0,-211,35,35,prune
459,0,-211,35,35,prune
460,0,-211,35,32,prune
461,0,32,35,35,prune
462,0,32,35,35,prune
463,0,32,35,35,prune
464,0,32,35,35,prune
464,1,-35,10000,-35
466,0,-10000,35,-162
467,0,-162,35,35
468,0,-162,35,35,prune
469,0,-162,35,35,prune
470,0,-162,35,35,prune
471,0,-162,35,35,prune
472,0,-162,35,35,prune
473,0,-162,35,35,prune
474,0,-162,35,35,prune
475,0,-162,35,35,prune
476,0,-162,35,35,prune
477,0,-162,35,35,prune
478,0,-162,35,35,prune
479,0,-162,35,-162,prune
480,0,-162,35,35,prune
481,0,-162,35,35,prune
482,0,-162,35,35,prune
483,0,-162,35,35,prune
484,0,-162,35,35,prune
485,0,-162,35,35,prune
486,0,-162,35,35,prune
487,0,-162,35,35,prune
488,0,-162,35,35,prune
489,0,-162,35,27,prune
490,0,27,35,35,prune
491,0,27,35,35,prune
492,0,27,35,35,prune
493,0,27,35,33,prune
493,1,-35,10000,-35
495,0,-10000,35,35
496,0,-10000,35,35,prune
497,0,-10000,35,35,prune
498,0,-10000,35,35,prune
499,0,-10000,35,35,prune
500,0,-10000,35,35,prune
501,0,-10000,35,35,prune
502,0,-10000,35,35,prune
503,0,-10000,35,35,prune
504,0,-10000,35,35,prune
505,0,-10000,35,35,prune
506,0,-10000,35,35,prune
507,0,-10000,35,35,prune
508,0,-10000,35,35,prune
509,0,-10000,35,35,prune
510,0,-10000,35,35,prune
511,0,-10000,35,35,prune
512,0,-10000,35,35,prune
513,0,-10000,35,35,prune
514,0,-10000,35,35,prune
515,0,-10000,35,35,prune
516,0,-10000,35,35,prune
517,0,-10000,35,34,prune
518,0,34,35,34,prune
519,0,34,35,34,prune
520,0,34,35,34,prune
521,0,34,35,35,prune
522,0,34,35,34,prune
522,1,-35,10000,-35
524,0,-10000,35,16
525,0,16,35,35
526,0,16,35,35,prune
527,0,16,35,19,prune
528,0,19,35,35,prune
529,0,19,35,35,prune
530,0,19,35,35,prune
531,0,19,35,33,prune
532,0,33,35,33,prune
533,0,33,35,35,prune
