2,0,-10000,10000,-197
3,0,-197,10000,-197
4,0,-197,10000,-35
5,0,-35,10000,1
6,0,1,10000,2
7,0,2,10000,2
8,0,2,10000,2
9,0,2,10000,30
10,0,30,10000,30
11,0,30,10000,30
12,0,30,10000,30
13,0,30,10000,30
14,0,30,10000,30
15,0,30,10000,30
16,0,30,10000,30
17,0,30,10000,30
18,0,30,10000,30
19,0,30,10000,30
20,0,30,10000,30
21,0,30,10000,30
22,0,30,10000,30
23,0,30,10000,30
24,0,30,10000,30
25,0,30,10000,30
26,0,30,10000,35
27,0,35,10000,35
28,0,35,10000,35
29,0,35,10000,35
29,1,-10000,10000,-35
31,0,-10000,35,35
32,0,-10000,35,-20,prune
33,0,-20,35,16,prune
34,0,16,35,17,prune
35,0,17,35,35,prune
36,0,17,35,35,prune
37,0,17,35,17,prune
38,0,17,35,17,prune
39,0,17,35,35,prune
40,0,17,35,17,prune
41,0,17,35,17,prune
42,0,17,35,17,prune
43,0,17,35,17,prune
44,0,17,35,17,prune
45,0,17,35,17,prune
46,0,17,35,17,prune
47,0,17,35,35,prune
48,0,17,35,35,prune
49,0,17,35,35,prune
50,0,17,35,35,prune
51,0,17,35,17,prune
52,0,17,35,17,prune
53,0,17,35,17,prune
54,0,17,35,17,prune
55,0,17,35,17,prune
56,0,17,35,17,prune
57,0,17,35,17,prune
58,0,17,35,17,prune
58,1,-35,10000,-35
60,0,-10000,35,-192
61,0,-192,35,-25
62,0,-25,35,11
63,0,11,35,12
64,0,12,35,35
65,0,12,35,35,prune
66,0,12,35,35,prune
67,0,12,35,30,prune
68,0,30,35,35,prune
69,0,30,35,35,prune
70,0,30,35,30,prune
71,0,30,35,30,prune
72,0,30,35,30,prune
73,0,30,35,30,prune
74,0,30,35,30,prune
75,0,30,35,30,prune
76,0,30,35,30,prune
77,0,30,35,30,prune
78,0,30,35,30,prune
79,0,30,35,30,prune
80,0,30,35,30,prune
81,0,30,35,30,prune
82,0,30,35,30,prune
83,0,30,35,30,prune
84,0,30,35,30,prune
85,0,30,35,30,prune
86,0,30,35,30,prune
87,0,30,35,30,prune
87,1,-35,10000,-35
89,0,-10000,35,-187
90,0,-187,35,-25
91,0,-25,35,11
92,0,11,35,12
93,0,12,35,35
94,0,12,35,35,prune
95,0,12,35,12,prune
96,0,12,35,30,prune
97,0,30,35,35,prune
98,0,30,35,35,prune
99,0,30,35,30,prune
100,0,30,35,30,prune
101,0,30,35,30,prune
102,0,30,35,30,prune
103,0,30,35,30,prune
104,0,30,35,30,prune
105,0,30,35,30,prune
106,0,30,35,30,prune
107,0,30,35,30,prune
108,0,30,35,30,prune
109,0,30,35,30,prune
110,0,30,35,30,prune
111,0,30,35,30,prune
112,0,30,35,30,prune
113,0,30,35,30,prune
114,0,30,35,30,prune
115,0,30,35,30,prune
116,0,30,35,30,prune
116,1,-35,10000,-35
118,0,-10000,35,-182
119,0,-182,35,-20
120,0,-20,35,16
121,0,16,35,17
122,0,17,35,17
123,0,17,35,35
124,0,17,35,35,prune
125,0,17,35,35,prune
126,0,17,35,35,prune
127,0,17,35,17,prune
128,0,17,35,35,prune
129,0,17,35,17,prune
130,0,17,35,17,prune
131,0,17,35,17,prune
132,0,17,35,17,prune
133,0,17,35,17,prune
134,0,17,35,17,prune
135,0,17,35,17,prune
136,0,17,35,17,prune
137,0,17,35,17,prune
138,0,17,35,17,prune
139,0,17,35,17,prune
140,0,17,35,17,prune
141,0,17,35,17,prune
142,0,17,35,17,prune
143,0,17,35,17,prune
144,0,17,35,17,prune
144,1,-35,10000,-35
146,0,-10000,35,35
147,0,-10000,35,35,prune
148,0,-10000,35,35,prune
149,0,-10000,35,26,prune
150,0,26,35,27,prune
151,0,27,35,35,prune
152,0,27,35,27,prune
153,0,27,35,35,prune
154,0,27,35,35,prune
155,0,27,35,35,prune
156,0,27,35,35,prune
157,0,27,35,35,prune
158,0,27,35,35,prune
159,0,27,35,27,prune
160,0,27,35,27,prune
161,0,27,35,27,prune
162,0,27,35,27,prune
163,0,27,35,27,prune
164,0,27,35,27,prune
165,0,27,35,35,prune
166,0,27,35,27,prune
167,0,27,35,27,prune
168,0,27,35,27,prune
169,0,27,35,27,prune
170,0,27,35,27,prune
171,0,27,35,28,prune
172,0,28,35,28,prune
172,1,-35,10000,-35
174,0,-10000,35,-162
175,0,-162,35,35
176,0,-162,35,35,prune
177,0,-162,35,35,prune
178,0,-162,35,0,prune
179,0,0,35,35,prune
180,0,0,35,35,prune
181,0,0,35,35,prune
182,0,0,35,35,prune
183,0,0,35,35,prune
184,0,0,35,35,prune
185,0,0,35,0,prune
186,0,0,35,0,prune
187,0,0,35,35,prune
188,0,0,35,35,prune
189,0,0,35,35,prune
190,0,0,35,23,prune
191,0,23,35,23,prune
192,0,23,35,30,prune
193,0,30,35,33,prune
194,0,33,35,33,prune
195,0,33,35,35,prune
196,0,33,35,35,prune
197,0,33,35,33,prune
198,0,33,35,33,prune
199,0,33,35,35,prune
200,0,33,35,33,prune
201,0,33,35,33,prune
201,1,-35,10000,-35
203,0,-10000,35,-162
204,0,-162,35,35
205,0,-162,35,35,prune
206,0,-162,35,35,prune
207,0,-162,35,0,prune
208,0,0,35,35,prune
209,0,0,35,35,prune
210,0,0,35,35,prune
211,0,0,35,0,prune
212,0,0,35,35,prune
213,0,0,35,35,prune
214,0,0,35,0,prune
215,0,0,35,35,prune
216,0,0,35,35,prune
217,0,0,35,35,prune
218,0,0,35,0,prune
219,0,0,35,30,prune
220,0,30,35,33,prune
221,0,33,35,33,prune
222,0,33,35,35,prune
223,0,33,35,35,prune
224,0,33,35,33,prune
225,0,33,35,33,prune
226,0,33,35,33,prune
227,0,33,35,33,prune
228,0,33,35,33,prune
229,0,33,35,33,prune
230,0,33,35,33,prune
230,1,-35,10000,-35
232,0,-10000,35,35
233,0,-10000,35,35,prune
234,0,-10000,35,35,prune
235,0,-10000,35,35,prune
236,0,-10000,35,20,prune
237,0,20,35,35,prune
238,0,20,35,35,prune
239,0,20,35,35,prune
240,0,20,35,35,prune
241,0,20,35,35,prune
242,0,20,35,35,prune
243,0,20,35,35,prune
244,0,20,35,35,prune
245,0,20,35,35,prune
246,0,20,35,35,prune
247,0,20,35,35,prune
248,0,20,35,35,prune
249,0,20,35,35,prune
250,0,20,35,35,prune
251,0,20,35,20,prune
252,0,20,35,35,prune
253,0,20,35,20,prune
254,0,20,35,35,prune
255,0,20,35,35,prune
256,0,20,35,35,prune
257,0,20,35,35,prune
258,0,20,35,35,prune
259,0,20,35,35,prune
259,1,-35,10000,-35
261,0,-10000,35,-202
262,0,-202,35,1
263,0,1,35,2
264,0,2,35,35
265,0,2,35,2,prune
266,0,2,35,30,prune
267,0,30,35,30,prune
268,0,30,35,30,prune
269,0,30,35,30,prune
270,0,30,35,30,prune
271,0,30,35,30,prune
272,0,30,35,30,prune
273,0,30,35,30,prune
274,0,30,35,30,prune
275,0,30,35,30,prune
276,0,30,35,30,prune
277,0,30,35,30,prune
278,0,30,35,30,prune
279,0,30,35,30,prune
280,0,30,35,30,prune
281,0,30,35,30,prune
282,0,30,35,30,prune
283,0,30,35,30,prune
284,0,30,35,30,prune
285,0,30,35,30,prune
286,0,30,35,30,prune
287,0,30,35,30,prune
288,0,30,35,30,prune
288,1,-35,10000,-35
290,0,-10000,35,35
291,0,-10000,35,-123,prune
292,0,-123,35,16,prune
293,0,16,35,17,prune
294,0,17,35,35,prune
295,0,17,35,35,prune
296,0,17,35,35,prune
297,0,17,35,35,prune
298,0,17,35,17,prune
299,0,17,35,35,prune
300,0,17,35,35,prune
301,0,17,35,35,prune
302,0,17,35,17,prune
303,0,17,35,17,prune
304,0,17,35,17,prune
305,0,17,35,17,prune
306,0,17,35,17,prune
307,0,17,35,17,prune
308,0,17,35,17,prune
309,0,17,35,35,prune
310,0,17,35,17,prune
311,0,17,35,17,prune
312,0,17,35,17,prune
313,0,17,35,17,prune
314,0,17,35,17,prune
315,0,17,35,17,prune
316,0,17,35,17,prune
317,0,17,35,17,prune
317,1,-35,10000,-35
319,0,-10000,35,-163
320,0,-163,35,35
321,0,-163,35,35,prune
322,0,-163,35,35,prune
323,0,-163,35,35,prune
324,0,-163,35,35,prune
325,0,-163,35,35,prune
326,0,-163,35,-1,prune
327,0,-1,35,35,prune
328,0,-1,35,35,prune
329,0,-1,35,35,prune
330,0,-1,35,-1,prune
331,0,-1,35,35,prune
332,0,-1,35,35,prune
333,0,-1,35,34,prune
334,0,34,35,34,prune
335,0,34,35,34,prune
336,0,34,35,34,prune
337,0,34,35,34,prune
338,0,34,35,34,prune
339,0,34,35,34,prune
340,0,34,35,34,prune
341,0,34,35,34,prune
342,0,34,35,34,prune
343,0,34,35,34,prune
344,0,34,35,34,prune
345,0,34,35,34,prune
346,0,34,35,34,prune
346,1,-35,10000,-35
348,0,-10000,35,-164
349,0,-164,35,34
350,0,34,35,35
351,0,34,35,35,prune
352,0,34,35,35,prune
353,0,34,35,35,prune
354,0,34,35,35,prune
355,0,34,35,34,prune
356,0,34,35,35,prune
357,0,34,35,35,prune
358,0,34,35,35,prune
359,0,34,35,34,prune
360,0,34,35,35,prune
361,0,34,35,34,prune
362,0,34,35,34,prune
363,0,34,35,34,prune
364,0,34,35,34,prune
365,0,34,35,34,prune
366,0,34,35,34,prune
367,0,34,35,34,prune
368,0,34,35,34,prune
369,0,34,35,34,prune
370,0,34,35,34,prune
371,0,34,35,34,prune
372,0,34,35,34,prune
373,0,34,35,34,prune
374,0,34,35,34,prune
375,0,34,35,34,prune
375,1,-35,10000,-35
377,0,-10000,35,-148
378,0,-148,35,35
379,0,-148,35,35,prune
380,0,-148,35,35,prune
381,0,-148,35,35,prune
382,0,-148,35,35,prune
383,0,-148,35,35,prune
384,0,-148,35,35,prune
385,0,-148,35,35,prune
386,0,-148,35,14,prune
387,0,14,35,35,prune
388,0,14,35,35,prune
389,0,14,35,35,prune
390,0,14,35,35,prune
391,0,14,35,14,prune
392,0,14,35,35,prune
393,0,14,35,35,prune
394,0,14,35,35,prune
395,0,14,35,35,prune
396,0,14,35,14,prune
397,0,14,35,35,prune
398,0,14,35,35,prune
399,0,14,35,14,prune
400,0,14,35,29,prune
401,0,29,35,29,prune
402,0,29,35,35,prune
403,0,29,35,34,prune
404,0,34,35,35,prune
404,1,-35,10000,-35
406,0,-10000,35,-150
407,0,-150,35,35
408,0,-150,35,35,prune
409,0,-150,35,35,prune
410,0,-150,35,35,prune
411,0,-150,35,35,prune
412,0,-150,35,35,prune
413,0,-150,35,35,prune
414,0,-150,35,35,prune
415,0,-150,35,35,prune
416,0,-150,35,35,prune
417,0,-150,35,12,prune
418,0,12,35,35,prune
419,0,12,35,35,prune
420,0,12,35,35,prune
421,0,12,35,35,prune
422,0,12,35,35,prune
423,0,12,35,35,prune
424,0,12,35,35,prune
425,0,12,35,12,prune
426,0,12,35,35,prune
427,0,12,35,33,prune
428,0,33,35,33,prune
429,0,33,35,35,prune
430,0,33,35,33,prune
431,0,33,35,33,prune
432,0,33,35,33,prune
433,0,33,35,33,prune
433,1,-35,10000,-35
435,0,-10000,35,-170
436,0,-170,35,33
437,0,33,35,34
438,0,34,35,35
439,0,34,35,35,prune
440,0,34,35,35,prune
441,0,34,35,35,prune
442,0,34,35,35,prune
443,0,34,35,35,prune
444,0,34,35,34,prune
445,0,34,35,35,prune
446,0,34,35,34,prune
447,0,34,35,34,prune
448,0,34,35,34,prune
449,0,34,35,34,prune
450,0,34,35,34,prune
451,0,34,35,34,prune
452,0,34,35,34,prune
453,0,34,35,34,prune
454,0,34,35,34,prune
455,0,34,35,34,prune
456,0,34,35,34,prune
457,0,34,35,34,prune
458,0,34,35,34,prune
459,0,34,35,34,prune
460,0,34,35,34,prune
461,0,34,35,34,prune
462,0,34,35,34,prune
462,1,-35,10000,-35
464,0,-10000,35,35
465,0,-10000,35,-168,prune
466,0,-168,35,28,prune
467,0,28,35,29,prune
468,0,29,35,35,prune
469,0,29,35,35,prune
470,0,29,35,29,prune
471,0,29,35,35,prune
472,0,29,35,35,prune
473,0,29,35,35,prune
